SystemCodeNumber,Capacity,Occupancy,LastUpdated,weeks
BHMBCCMKT01,577,58,2016-10-8 7:57,星期六
BHMBCCMKT01,577,61,2016-10-8 8:30,星期六
BHMBCCMKT01,577,75,2016-10-8 8:57,星期六
BHMBCCMKT01,577,104,2016-10-8 9:30,星期六
BHMBCCMKT01,577,158,2016-10-8 10:04,星期六
BHMBCCMKT01,577,191,2016-10-8 10:30,星期六
BHMBCCMKT01,577,223,2016-10-8 10:57,星期六
BHMBCCMKT01,577,254,2016-10-8 11:30,星期六
BHMBCCMKT01,577,306,2016-10-8 12:04,星期六
BHMBCCMKT01,577,320,2016-10-8 12:30,星期六
BHMBCCMKT01,577,348,2016-10-8 13:04,星期六
BHMBCCMKT01,577,357,2016-10-8 13:30,星期六
BHMBCCMKT01,577,395,2016-10-8 14:03,星期六
BHMBCCMKT01,577,400,2016-10-8 14:30,星期六
BHMBCCMKT01,577,395,2016-10-8 14:57,星期六
BHMBCCMKT01,577,406,2016-10-8 15:30,星期六
BHMBCCMKT01,577,381,2016-10-8 16:04,星期六
BHMBCCMKT01,577,365,2016-10-8 16:30,星期六
BHMBCCMKT01,577,42,2016-10-9 8:04,星期日
BHMBCCMKT01,577,42,2016-10-9 8:30,星期日
BHMBCCMKT01,577,43,2016-10-9 9:04,星期日
BHMBCCMKT01,577,43,2016-10-9 9:30,星期日
BHMBCCMKT01,577,50,2016-10-9 9:57,星期日
BHMBCCMKT01,577,64,2016-10-9 10:30,星期日
BHMBCCMKT01,577,100,2016-10-9 11:04,星期日
BHMBCCMKT01,577,126,2016-10-9 11:30,星期日
BHMBCCMKT01,577,148,2016-10-9 11:57,星期日
BHMBCCMKT01,577,170,2016-10-9 12:30,星期日
BHMBCCMKT01,577,189,2016-10-9 13:04,星期日
BHMBCCMKT01,577,205,2016-10-9 13:30,星期日
BHMBCCMKT01,577,208,2016-10-9 14:03,星期日
BHMBCCMKT01,577,209,2016-10-9 14:30,星期日
BHMBCCMKT01,577,191,2016-10-9 15:04,星期日
BHMBCCMKT01,577,180,2016-10-9 15:30,星期日
BHMBCCMKT01,577,155,2016-10-9 16:03,星期日
BHMBCCMKT01,577,133,2016-10-9 16:30,星期日
BHMBCCMKT01,577,53,2016-10-15 8:01,星期六
BHMBCCMKT01,577,63,2016-10-15 8:34,星期六
BHMBCCMKT01,577,77,2016-10-15 9:01,星期六
BHMBCCMKT01,577,101,2016-10-15 9:27,星期六
BHMBCCMKT01,577,154,2016-10-15 10:01,星期六
BHMBCCMKT01,577,171,2016-10-15 10:27,星期六
BHMBCCMKT01,577,211,2016-10-15 11:01,星期六
BHMBCCMKT01,577,239,2016-10-15 11:27,星期六
BHMBCCMKT01,577,276,2016-10-15 12:01,星期六
BHMBCCMKT01,577,297,2016-10-15 12:27,星期六
BHMBCCMKT01,577,332,2016-10-15 13:01,星期六
BHMBCCMKT01,577,352,2016-10-15 13:34,星期六
BHMBCCMKT01,577,391,2016-10-15 14:01,星期六
BHMBCCMKT01,577,409,2016-10-15 14:27,星期六
BHMBCCMKT01,577,442,2016-10-15 15:01,星期六
BHMBCCMKT01,577,428,2016-10-15 15:27,星期六
BHMBCCMKT01,577,412,2016-10-15 16:01,星期六
