SystemCodeNumber,Capacity,Occupancy,LastUpdated,weeks
BHMBCCMKT01,577,61,2016-10-4 7:59,星期二
BHMBCCMKT01,577,64,2016-10-4 8:25,星期二
BHMBCCMKT01,577,80,2016-10-4 8:59,星期二
BHMBCCMKT01,577,107,2016-10-4 9:32,星期二
BHMBCCMKT01,577,150,2016-10-4 9:59,星期二
BHMBCCMKT01,577,177,2016-10-4 10:26,星期二
BHMBCCMKT01,577,219,2016-10-4 10:59,星期二
BHMBCCMKT01,577,247,2016-10-4 11:25,星期二
BHMBCCMKT01,577,259,2016-10-4 11:59,星期二
BHMBCCMKT01,577,266,2016-10-4 12:29,星期二
BHMBCCMKT01,577,269,2016-10-4 13:02,星期二
BHMBCCMKT01,577,263,2016-10-4 13:29,星期二
BHMBCCMKT01,577,238,2016-10-4 14:02,星期二
BHMBCCMKT01,577,215,2016-10-4 14:29,星期二
BHMBCCMKT01,577,192,2016-10-4 14:57,星期二
BHMBCCMKT01,577,165,2016-10-4 15:30,星期二
BHMBCCMKT01,577,162,2016-10-4 16:04,星期二
BHMBCCMKT01,577,143,2016-10-4 16:31,星期二
BHMBCCMKT01,577,54,2016-10-5 7:57,星期三
BHMBCCMKT01,577,59,2016-10-5 8:30,星期三
BHMBCCMKT01,577,71,2016-10-5 9:04,星期三
BHMBCCMKT01,577,83,2016-10-5 9:30,星期三
BHMBCCMKT01,577,114,2016-10-5 10:04,星期三
BHMBCCMKT01,577,128,2016-10-5 10:30,星期三
BHMBCCMKT01,577,148,2016-10-5 11:04,星期三
BHMBCCMKT01,577,162,2016-10-5 11:30,星期三
BHMBCCMKT01,577,178,2016-10-5 12:04,星期三
BHMBCCMKT01,577,183,2016-10-5 12:30,星期三
BHMBCCMKT01,577,175,2016-10-5 12:57,星期三
BHMBCCMKT01,577,179,2016-10-5 13:30,星期三
BHMBCCMKT01,577,174,2016-10-5 13:57,星期三
BHMBCCMKT01,577,158,2016-10-5 14:30,星期三
BHMBCCMKT01,577,145,2016-10-5 14:57,星期三
BHMBCCMKT01,577,129,2016-10-5 15:30,星期三
BHMBCCMKT01,577,121,2016-10-5 16:04,星期三
BHMBCCMKT01,577,114,2016-10-5 16:30,星期三
BHMBCCMKT01,577,58,2016-10-6 7:57,星期四
BHMBCCMKT01,577,63,2016-10-6 8:30,星期四
BHMBCCMKT01,577,70,2016-10-6 8:57,星期四
BHMBCCMKT01,577,95,2016-10-6 9:30,星期四
BHMBCCMKT01,577,135,2016-10-6 10:03,星期四
BHMBCCMKT01,577,160,2016-10-6 10:30,星期四
BHMBCCMKT01,577,177,2016-10-6 10:57,星期四
BHMBCCMKT01,577,191,2016-10-6 11:30,星期四
BHMBCCMKT01,577,199,2016-10-6 12:04,星期四
BHMBCCMKT01,577,206,2016-10-6 12:30,星期四
BHMBCCMKT01,577,198,2016-10-6 12:57,星期四
BHMBCCMKT01,577,208,2016-10-6 13:30,星期四
BHMBCCMKT01,577,200,2016-10-6 13:57,星期四
BHMBCCMKT01,577,175,2016-10-6 14:30,星期四
BHMBCCMKT01,577,158,2016-10-6 15:04,星期四
BHMBCCMKT01,577,153,2016-10-6 15:31,星期四
BHMBCCMKT01,577,135,2016-10-6 16:04,星期四
BHMBCCMKT01,577,129,2016-10-6 16:30,星期四
BHMBCCMKT01,577,58,2016-10-7 8:03,星期五
BHMBCCMKT01,577,61,2016-10-7 8:30,星期五
BHMBCCMKT01,577,75,2016-10-7 9:04,星期五
BHMBCCMKT01,577,103,2016-10-7 9:30,星期五
BHMBCCMKT01,577,128,2016-10-7 9:57,星期五
BHMBCCMKT01,577,172,2016-10-7 10:30,星期五
BHMBCCMKT01,577,188,2016-10-7 10:57,星期五
BHMBCCMKT01,577,199,2016-10-7 11:30,星期五
BHMBCCMKT01,577,210,2016-10-7 12:03,星期五
BHMBCCMKT01,577,206,2016-10-7 12:30,星期五
BHMBCCMKT01,577,200,2016-10-7 13:04,星期五
BHMBCCMKT01,577,201,2016-10-7 13:30,星期五
BHMBCCMKT01,577,193,2016-10-7 14:03,星期五
BHMBCCMKT01,577,181,2016-10-7 14:30,星期五
BHMBCCMKT01,577,172,2016-10-7 15:04,星期五
BHMBCCMKT01,577,159,2016-10-7 15:30,星期五
BHMBCCMKT01,577,158,2016-10-7 15:57,星期五
BHMBCCMKT01,577,132,2016-10-7 16:30,星期五
BHMBCCMKT01,577,54,2016-10-10 8:04,星期一
BHMBCCMKT01,577,56,2016-10-10 8:30,星期一
BHMBCCMKT01,577,65,2016-10-10 9:04,星期一
BHMBCCMKT01,577,73,2016-10-10 9:30,星期一
BHMBCCMKT01,577,92,2016-10-10 10:03,星期一
BHMBCCMKT01,577,113,2016-10-10 10:30,星期一
BHMBCCMKT01,577,144,2016-10-10 10:57,星期一
BHMBCCMKT01,577,149,2016-10-10 11:30,星期一
BHMBCCMKT01,577,159,2016-10-10 11:57,星期一
BHMBCCMKT01,577,171,2016-10-10 12:30,星期一
BHMBCCMKT01,577,176,2016-10-10 13:04,星期一
BHMBCCMKT01,577,172,2016-10-10 13:30,星期一
BHMBCCMKT01,577,161,2016-10-10 14:03,星期一
BHMBCCMKT01,577,154,2016-10-10 14:30,星期一
BHMBCCMKT01,577,137,2016-10-10 14:57,星期一
BHMBCCMKT01,577,129,2016-10-10 15:30,星期一
BHMBCCMKT01,577,130,2016-10-10 15:57,星期一
BHMBCCMKT01,577,114,2016-10-10 16:30,星期一
BHMBCCMKT01,577,56,2016-10-11 8:04,星期二
BHMBCCMKT01,577,64,2016-10-11 8:30,星期二
BHMBCCMKT01,577,74,2016-10-11 8:57,星期二
BHMBCCMKT01,577,93,2016-10-11 9:30,星期二
BHMBCCMKT01,577,129,2016-10-11 9:57,星期二
BHMBCCMKT01,577,167,2016-10-11 10:30,星期二
BHMBCCMKT01,577,200,2016-10-11 10:57,星期二
BHMBCCMKT01,577,219,2016-10-11 11:30,星期二
BHMBCCMKT01,577,225,2016-10-11 12:03,星期二
BHMBCCMKT01,577,221,2016-10-11 12:30,星期二
BHMBCCMKT01,577,217,2016-10-11 13:04,星期二
BHMBCCMKT01,577,217,2016-10-11 13:31,星期二
BHMBCCMKT01,577,208,2016-10-11 14:04,星期二
BHMBCCMKT01,577,191,2016-10-11 14:30,星期二
BHMBCCMKT01,577,167,2016-10-11 15:03,星期二
BHMBCCMKT01,577,159,2016-10-11 15:33,星期二
BHMBCCMKT01,577,150,2016-10-11 16:01,星期二
BHMBCCMKT01,577,127,2016-10-11 16:26,星期二
BHMBCCMKT01,577,51,2016-10-12 8:04,星期三
BHMBCCMKT01,577,57,2016-10-12 8:31,星期三
BHMBCCMKT01,577,64,2016-10-12 9:03,星期三
BHMBCCMKT01,577,73,2016-10-12 9:26,星期三
BHMBCCMKT01,577,99,2016-10-12 10:01,星期三
BHMBCCMKT01,577,112,2016-10-12 10:31,星期三
BHMBCCMKT01,577,127,2016-10-12 11:04,星期三
BHMBCCMKT01,577,128,2016-10-12 11:31,星期三
BHMBCCMKT01,577,143,2016-10-12 12:04,星期三
BHMBCCMKT01,577,158,2016-10-12 12:31,星期三
BHMBCCMKT01,577,157,2016-10-12 13:04,星期三
BHMBCCMKT01,577,164,2016-10-12 13:34,星期三
BHMBCCMKT01,577,167,2016-10-12 14:03,星期三
BHMBCCMKT01,577,159,2016-10-12 14:34,星期三
BHMBCCMKT01,577,140,2016-10-12 15:01,星期三
BHMBCCMKT01,577,128,2016-10-12 15:30,星期三
BHMBCCMKT01,577,121,2016-10-12 15:57,星期三
BHMBCCMKT01,577,111,2016-10-12 16:31,星期三
BHMBCCMKT01,577,58,2016-10-13 7:57,星期四
BHMBCCMKT01,577,65,2016-10-13 8:31,星期四
BHMBCCMKT01,577,76,2016-10-13 9:04,星期四
BHMBCCMKT01,577,97,2016-10-13 9:31,星期四
BHMBCCMKT01,577,127,2016-10-13 9:57,星期四
BHMBCCMKT01,577,166,2016-10-13 10:31,星期四
BHMBCCMKT01,577,200,2016-10-13 11:04,星期四
BHMBCCMKT01,577,220,2016-10-13 11:31,星期四
BHMBCCMKT01,577,230,2016-10-13 11:57,星期四
BHMBCCMKT01,577,231,2016-10-13 12:31,星期四
BHMBCCMKT01,577,214,2016-10-13 13:04,星期四
BHMBCCMKT01,577,203,2016-10-13 13:31,星期四
BHMBCCMKT01,577,205,2016-10-13 13:57,星期四
BHMBCCMKT01,577,181,2016-10-13 14:31,星期四
BHMBCCMKT01,577,162,2016-10-13 15:04,星期四
BHMBCCMKT01,577,144,2016-10-13 15:31,星期四
BHMBCCMKT01,577,132,2016-10-13 16:04,星期四
BHMBCCMKT01,577,130,2016-10-13 16:31,星期四
BHMBCCMKT01,577,53,2016-10-14 8:01,星期五
BHMBCCMKT01,577,57,2016-10-14 8:27,星期五
BHMBCCMKT01,577,67,2016-10-14 9:01,星期五
BHMBCCMKT01,577,100,2016-10-14 9:27,星期五
BHMBCCMKT01,577,134,2016-10-14 10:01,星期五
BHMBCCMKT01,577,157,2016-10-14 10:27,星期五
BHMBCCMKT01,577,205,2016-10-14 11:01,星期五
BHMBCCMKT01,577,220,2016-10-14 11:27,星期五
BHMBCCMKT01,577,224,2016-10-14 12:01,星期五
BHMBCCMKT01,577,213,2016-10-14 12:27,星期五
BHMBCCMKT01,577,205,2016-10-14 13:01,星期五
BHMBCCMKT01,577,201,2016-10-14 13:27,星期五
BHMBCCMKT01,577,182,2016-10-14 14:01,星期五
BHMBCCMKT01,577,174,2016-10-14 14:34,星期五
BHMBCCMKT01,577,171,2016-10-14 15:01,星期五
BHMBCCMKT01,577,161,2016-10-14 15:27,星期五
BHMBCCMKT01,577,138,2016-10-14 16:01,星期五
BHMBCCMKT01,577,134,2016-10-14 16:34,星期五
BHMBCCMKT01,577,50,2016-10-17 8:01,星期一
BHMBCCMKT01,577,54,2016-10-17 8:27,星期一
BHMBCCMKT01,577,66,2016-10-17 9:01,星期一
BHMBCCMKT01,577,76,2016-10-17 9:27,星期一
BHMBCCMKT01,577,112,2016-10-17 10:04,星期一
BHMBCCMKT01,577,119,2016-10-17 10:31,星期一
BHMBCCMKT01,577,144,2016-10-17 11:04,星期一
BHMBCCMKT01,577,153,2016-10-17 11:31,星期一
BHMBCCMKT01,577,159,2016-10-17 12:04,星期一
BHMBCCMKT01,577,154,2016-10-17 12:31,星期一
BHMBCCMKT01,577,154,2016-10-17 12:57,星期一
BHMBCCMKT01,577,157,2016-10-17 13:31,星期一
BHMBCCMKT01,577,161,2016-10-17 14:04,星期一
BHMBCCMKT01,577,147,2016-10-17 14:31,星期一
BHMBCCMKT01,577,133,2016-10-17 14:57,星期一
BHMBCCMKT01,577,121,2016-10-17 15:31,星期一
BHMBCCMKT01,577,115,2016-10-17 15:57,星期一
BHMBCCMKT01,577,110,2016-10-17 16:28,星期一
BHMBCCMKT01,577,57,2016-10-18 8:01,星期二
BHMBCCMKT01,577,60,2016-10-18 8:28,星期二
BHMBCCMKT01,577,72,2016-10-18 9:01,星期二
BHMBCCMKT01,577,91,2016-10-18 9:28,星期二
BHMBCCMKT01,577,145,2016-10-18 10:01,星期二
BHMBCCMKT01,577,178,2016-10-18 10:28,星期二
BHMBCCMKT01,577,220,2016-10-18 11:01,星期二
BHMBCCMKT01,577,228,2016-10-18 11:27,星期二
BHMBCCMKT01,577,231,2016-10-18 12:01,星期二
BHMBCCMKT01,577,224,2016-10-18 12:27,星期二
BHMBCCMKT01,577,237,2016-10-18 13:01,星期二
BHMBCCMKT01,577,227,2016-10-18 13:28,星期二
BHMBCCMKT01,577,226,2016-10-18 13:54,星期二
BHMBCCMKT01,577,200,2016-10-18 14:27,星期二
BHMBCCMKT01,577,165,2016-10-18 15:01,星期二
BHMBCCMKT01,577,157,2016-10-18 15:27,星期二
BHMBCCMKT01,577,149,2016-10-18 15:55,星期二
BHMBCCMKT01,577,124,2016-10-18 16:27,星期二
BHMBCCMKT01,577,49,2016-10-19 8:05,星期三
BHMBCCMKT01,577,51,2016-10-19 8:25,星期三
BHMBCCMKT01,577,59,2016-10-19 8:58,星期三
BHMBCCMKT01,577,76,2016-10-19 9:32,星期三
BHMBCCMKT01,577,105,2016-10-19 9:58,星期三
BHMBCCMKT01,577,135,2016-10-19 10:25,星期三
BHMBCCMKT01,577,156,2016-10-19 10:59,星期三
BHMBCCMKT01,577,177,2016-10-19 11:25,星期三
BHMBCCMKT01,577,181,2016-10-19 11:59,星期三
BHMBCCMKT01,577,171,2016-10-19 12:25,星期三
BHMBCCMKT01,577,165,2016-10-19 12:58,星期三
BHMBCCMKT01,577,167,2016-10-19 13:25,星期三
BHMBCCMKT01,577,161,2016-10-19 13:58,星期三
BHMBCCMKT01,577,156,2016-10-19 14:32,星期三
BHMBCCMKT01,577,144,2016-10-19 14:58,星期三
BHMBCCMKT01,577,127,2016-10-19 15:32,星期三
BHMBCCMKT01,577,117,2016-10-19 15:59,星期三
BHMBCCMKT01,577,110,2016-10-19 16:25,星期三
BHMBCCMKT01,577,47,2016-10-24 7:56,星期一
BHMBCCMKT01,577,55,2016-10-24 8:29,星期一
BHMBCCMKT01,577,62,2016-10-24 9:03,星期一
BHMBCCMKT01,577,73,2016-10-24 9:30,星期一
BHMBCCMKT01,577,87,2016-10-24 9:55,星期一
BHMBCCMKT01,577,114,2016-10-24 10:30,星期一
BHMBCCMKT01,577,137,2016-10-24 11:03,星期一
BHMBCCMKT01,577,155,2016-10-24 11:29,星期一
BHMBCCMKT01,577,173,2016-10-24 12:02,星期一
BHMBCCMKT01,577,191,2016-10-24 12:30,星期一
BHMBCCMKT01,577,198,2016-10-24 12:56,星期一
BHMBCCMKT01,577,208,2016-10-24 13:30,星期一
BHMBCCMKT01,577,219,2016-10-24 13:56,星期一
BHMBCCMKT01,577,215,2016-10-24 14:30,星期一
BHMBCCMKT01,577,209,2016-10-24 14:56,星期一
BHMBCCMKT01,577,209,2016-10-24 15:32,星期一
BHMBCCMKT01,577,192,2016-10-24 16:00,星期一
BHMBCCMKT01,577,175,2016-10-24 16:33,星期一
BHMBCCMKT01,577,54,2016-10-25 8:00,星期二
BHMBCCMKT01,577,55,2016-10-25 8:26,星期二
BHMBCCMKT01,577,82,2016-10-25 9:00,星期二
BHMBCCMKT01,577,95,2016-10-25 9:19,星期二
BHMBCCMKT01,577,129,2016-10-25 9:56,星期二
BHMBCCMKT01,577,173,2016-10-25 10:29,星期二
BHMBCCMKT01,577,202,2016-10-25 10:56,星期二
BHMBCCMKT01,577,249,2016-10-25 11:29,星期二
BHMBCCMKT01,577,290,2016-10-25 12:02,星期二
BHMBCCMKT01,577,303,2016-10-25 12:29,星期二
BHMBCCMKT01,577,331,2016-10-25 13:03,星期二
BHMBCCMKT01,577,345,2016-10-25 13:29,星期二
BHMBCCMKT01,577,363,2016-10-25 13:56,星期二
BHMBCCMKT01,577,365,2016-10-25 14:29,星期二
BHMBCCMKT01,577,340,2016-10-25 15:02,星期二
BHMBCCMKT01,577,302,2016-10-25 15:29,星期二
BHMBCCMKT01,577,273,2016-10-25 15:56,星期二
BHMBCCMKT01,577,226,2016-10-25 16:29,星期二
BHMBCCMKT01,577,56,2016-10-26 7:59,星期三
BHMBCCMKT01,577,63,2016-10-26 8:32,星期三
BHMBCCMKT01,577,70,2016-10-26 8:59,星期三
BHMBCCMKT01,577,87,2016-10-26 9:26,星期三
BHMBCCMKT01,577,108,2016-10-26 9:59,星期三
BHMBCCMKT01,577,125,2016-10-26 10:26,星期三
BHMBCCMKT01,577,159,2016-10-26 10:59,星期三
BHMBCCMKT01,577,182,2016-10-26 11:26,星期三
BHMBCCMKT01,577,198,2016-10-26 11:59,星期三
BHMBCCMKT01,577,205,2016-10-26 12:26,星期三
BHMBCCMKT01,577,231,2016-10-26 12:59,星期三
BHMBCCMKT01,577,244,2016-10-26 13:26,星期三
BHMBCCMKT01,577,260,2016-10-26 13:59,星期三
BHMBCCMKT01,577,267,2016-10-26 14:26,星期三
BHMBCCMKT01,577,252,2016-10-26 14:59,星期三
BHMBCCMKT01,577,238,2016-10-26 15:26,星期三
BHMBCCMKT01,577,212,2016-10-26 15:59,星期三
BHMBCCMKT01,577,180,2016-10-26 16:32,星期三
BHMBCCMKT01,577,54,2016-10-27 7:59,星期四
BHMBCCMKT01,577,60,2016-10-27 8:32,星期四
BHMBCCMKT01,577,69,2016-10-27 8:59,星期四
BHMBCCMKT01,577,90,2016-10-27 9:32,星期四
BHMBCCMKT01,577,102,2016-10-27 9:59,星期四
BHMBCCMKT01,577,117,2016-10-27 10:25,星期四
BHMBCCMKT01,577,160,2016-10-27 10:59,星期四
BHMBCCMKT01,577,189,2016-10-27 11:32,星期四
BHMBCCMKT01,577,207,2016-10-27 11:59,星期四
BHMBCCMKT01,577,222,2016-10-27 12:26,星期四
BHMBCCMKT01,577,247,2016-10-27 12:59,星期四
BHMBCCMKT01,577,271,2016-10-27 13:32,星期四
BHMBCCMKT01,577,279,2016-10-27 13:59,星期四
BHMBCCMKT01,577,280,2016-10-27 14:26,星期四
BHMBCCMKT01,577,266,2016-10-27 14:59,星期四
BHMBCCMKT01,577,263,2016-10-27 15:26,星期四
BHMBCCMKT01,577,241,2016-10-27 15:59,星期四
BHMBCCMKT01,577,225,2016-10-27 16:26,星期四
BHMBCCMKT01,577,57,2016-10-28 8:16,星期五
BHMBCCMKT01,577,57,2016-10-28 8:16,星期五
BHMBCCMKT01,577,69,2016-10-28 8:56,星期五
BHMBCCMKT01,577,99,2016-10-28 9:29,星期五
BHMBCCMKT01,577,135,2016-10-28 10:02,星期五
BHMBCCMKT01,577,171,2016-10-28 10:29,星期五
BHMBCCMKT01,577,196,2016-10-28 10:56,星期五
BHMBCCMKT01,577,230,2016-10-28 11:29,星期五
BHMBCCMKT01,577,262,2016-10-28 12:02,星期五
BHMBCCMKT01,577,269,2016-10-28 12:29,星期五
BHMBCCMKT01,577,266,2016-10-28 13:02,星期五
BHMBCCMKT01,577,275,2016-10-28 13:29,星期五
BHMBCCMKT01,577,296,2016-10-28 14:02,星期五
BHMBCCMKT01,577,290,2016-10-28 14:29,星期五
BHMBCCMKT01,577,282,2016-10-28 15:02,星期五
BHMBCCMKT01,577,269,2016-10-28 15:29,星期五
BHMBCCMKT01,577,256,2016-10-28 16:02,星期五
BHMBCCMKT01,577,220,2016-10-28 16:29,星期五
BHMBCCMKT01,577,49,2016-10-31 8:00,星期一
BHMBCCMKT01,577,58,2016-10-31 8:26,星期一
BHMBCCMKT01,577,67,2016-10-31 9:00,星期一
BHMBCCMKT01,577,92,2016-10-31 9:26,星期一
BHMBCCMKT01,577,111,2016-10-31 10:00,星期一
BHMBCCMKT01,577,129,2016-10-31 10:26,星期一
BHMBCCMKT01,577,166,2016-10-31 11:00,星期一
BHMBCCMKT01,577,178,2016-10-31 11:26,星期一
BHMBCCMKT01,577,198,2016-10-31 12:00,星期一
BHMBCCMKT01,577,199,2016-10-31 12:26,星期一
BHMBCCMKT01,577,198,2016-10-31 13:00,星期一
BHMBCCMKT01,577,201,2016-10-31 13:26,星期一
BHMBCCMKT01,577,189,2016-10-31 13:59,星期一
BHMBCCMKT01,577,185,2016-10-31 14:26,星期一
BHMBCCMKT01,577,160,2016-10-31 15:00,星期一
BHMBCCMKT01,577,141,2016-10-31 15:27,星期一
BHMBCCMKT01,577,130,2016-10-31 16:00,星期一
BHMBCCMKT01,577,121,2016-10-31 16:26,星期一
BHMBCCMKT01,577,50,2016-11-1 8:06,星期二
